"","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16"
"L1",3.24,0,0,0,0,0,0,0,0,0,0,0,1.62,0,0,0
"L2",0,0.81,0,0,0,0,1.62,0,0,0,0,0,0,0,0,0.81
"L3",0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0
"L4",0,0,0,0.81,0,0,0,0,1.62,0,0,0,0,0,0,0
"L5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L6",0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0
"L7",0,1.62,0,0,0,0,3.24,0,0,0,0,0,0,0,0,1.62
"L8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L9",0,0,0,1.62,0,0,0,0,3.24,0,0,0,0,0,0,0
"L10",0,0,0,0,0,0,0,0,0,3.24,0,0,0,0,0,0
"L11",0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
"L12",0,0,0,0,0,0,0,0,0,0,0,3.24,0,0,0,0
"L13",1.62,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0
"L14",0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0
"L15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L16",0,0.81,0,0,0,0,1.62,0,0,0,0,0,0,0,0,0.81
